6,3721936
4,262005
6,261725
4,43581
6,23227
6,141869
4,837229
6,837212
6,3719830
6,13486
6,276373
8,21664
6,5446858
6,5471480
8,74119
4,4654328
6,5435084
6,4919484
4,4054654
6,4216890
8,5907916
6,5070130
8,5280642
6,4846318
8,3845670
4,4550098
6,3954660
8,4016934
8,5168192
6,1935859
2,3838992
6,3099498
6,4135076
8,4048272
6,4513674
8,4621016
6,3774114
8,3553976
4,435651
6,3312868
6,478970
6,1289401
6,2080374
8,462335
6,79482
4,1292566
6,4438848
4,305357
6,1431045
6,3040964
6,67116
6,1398426
6,2084970
4,4301242
8,470752
8,1895587
6,3659388
8,1596363
4,4171032
6,48028
4,3450650
4,2224026
6,99365
6,85127
8,2017561
6,3508840
6,3544082
6,402022
8,3172532
4,2872462
6,2582496
6,2488496
8,59079
8,4153324
4,4537842
8,2096673
8,86837
4,2479478
6,1234721
6,2023690
8,3162938
4,338348
6,91530
6,1883180
4,230
6,211
4,1428455
4,139738
4,343112
6,4104022
6,2321549
6,3152624
6,3850214
8,2481512
6,4428814
6,4085084
8,4480648
8,3464902
6,2334873
4,90103
4,95690
4,279778
8,4893244
8,67919
6,3292146
4,3398268
4,4284010
6,910936
6,4103404
8,816692
6,1392190
8,1536458
4,1791682
6,11439
6,212720
8,2283017
8,3472226
6,4257858
8,4044364
8,2375574
6,1772341
2,68305
6,3715406
4,2884206
8,1683876
8,2802154
6,140634
6,2479800
6,1114723
6,2938416
6,2427892
8,1706620
4,1291150
4,2267998
6,2562232
2,2024469
6,2883512
6,2174896
6,1990314
6,1971325
6,3454002
6,2015381
6,20167
8,1065073
6,182789
4,24006
4,25153
4,20735
6,23093
6,20445
6,2125608
6,2310332
6,1490017
4,3272018
4,2051879
4,381190
4,2756032
8,2576852
6,1456635
6,76723
10,2402091
6,1323594
6,375184
6,1798709
6,2199448
6,3655522
6,3130776
8,3212568
8,2872718
6,2172584
8,3419894
4,1486843
8,1845773
6,3557464
4,405422
6,2004420
4,3214002
8,3268458
6,2177843
4,1074638
8,3630276
8,2600366
8,1421051
6,2251249
6,873886
4,1605782
6,2737050
4,271558
6,95270
6,1853614
4,71498
6,2281365
6,49518
2,212346
6,99740
4,92718
6,1840309
8,1935156
6,82770
6,2013293
4,1731141
6,2364949
4,87928
6,1135092
4,210070
4,1247640
4,3203462
6,44671
4,2755016
6,2129928
6,1800266
6,2294677
8,439885
6,913425
6,1245104
6,2306745
8,2852400
6,1764726
6,338751
6,1785612
6,1655442
6,374900
6,2278388
8,98692
4,1453405
6,1951264
6,1462900
4,1985981
6,70413
6,1714915
6,2042568
8,8879
6,90213
6,1937390
6,1800241
4,2182169
6,2781046
4,2781042
6,2189771
6,1942614
4,892769
6,1259521
4,945513
6,17775
4,1179025
6,2446192
6,2355540
6,84577
6,2294629
8,485601
4,1007028
4,85995
4,1091722
4,137338
6,2245223
6,1170358
6,114269
6,59503
4,185478
4,7264
4,239986
6,1839590
6,7880
4,28726
6,2332579
6,75863
4,441773
6,105488
6,66434
8,2225782
6,282492
4,1343727
8,2375605
6,468565
6,1457767
4,2280964
8,3119416
4,2942522
6,2278871
6,2418372
6,2007360
8,104263
6,2132285
4,1245492
8,1602620
4,358082
4,202908
6,756683
6,423382
6,107617
8,2364975
4,337692
6,1399683
4,1531901
6,2922112
6,387055
6,119081
6,1535108
6,1692486
4,73631
6,983213
6,107173
6,96018
6,1371111
6,293416
4,1659337
6,90728
4,396036
8,60758
6,30637
8,2076220
6,1560747
6,817177
6,68025
8,816711
6,57091
6,1865425
2,458339
4,1920849
6,1966604
6,55052
6,62395
4,1726589
